datetime,variable
02/03/2019 03:00,5411.396412
02/03/2019 03:10,5312.353182
02/03/2019 03:20,5143.854327
02/03/2019 03:30,5281.051436
02/03/2019 03:40,5180.888547
02/03/2019 03:50,4907.029949
02/03/2019 04:00,5041.561538
02/03/2019 04:10,4728.34884
02/03/2019 04:20,4768.837934
02/03/2019 04:30,4758.24465
02/03/2019 04:40,4445.101325
02/03/2019 04:50,4355.564757
02/03/2019 05:00,4218.596105
02/03/2019 05:10,4264.509942
02/03/2019 05:20,4035.44163
02/03/2019 05:30,3897.865311
02/03/2019 05:40,3800.439293
02/03/2019 05:50,3596.912734
02/03/2019 06:00,3605.014774
02/03/2019 06:10,3554.506959
02/03/2019 06:20,3385.263338
02/03/2019 06:30,3238.706233
02/03/2019 06:40,2851.777783
02/03/2019 06:50,3104.374242
02/03/2019 07:00,2735.741995
02/03/2019 07:10,2695.967677
02/03/2019 07:20,2526.453956
02/03/2019 07:30,2369.396828
02/03/2019 07:40,1882.194076
02/03/2019 07:50,1930.853123
02/03/2019 08:00,1715.246761
02/03/2019 08:10,1587.109067
02/03/2019 08:20,1414.983264
02/03/2019 08:30,1408.084103
02/03/2019 08:40,1159.627553
02/03/2019 08:50,1203.593009
02/03/2019 09:00,976.8969837
02/03/2019 09:10,966.6429086
02/03/2019 09:20,903.3930578
02/03/2019 09:30,800.3163935
02/03/2019 09:40,924.3511297
02/03/2019 09:50,860.4839199
02/03/2019 10:00,953.1271928
02/03/2019 10:10,850.5574177
02/03/2019 10:20,845.9874857
02/03/2019 10:30,822.2661286
02/03/2019 10:40,907.9496558
02/03/2019 10:50,818.2340462
02/03/2019 11:00,797.9875893
02/03/2019 11:10,959.1968624
02/03/2019 11:20,920.5163397
02/03/2019 11:30,725.3387926
02/03/2019 11:40,799.5230414
02/03/2019 11:50,771.5195894
02/03/2019 12:00,824.8660996
02/03/2019 12:10,867.0535049
02/03/2019 12:20,727.9198622
02/03/2019 12:30,871.1895252
02/03/2019 12:40,797.1564723
02/03/2019 12:50,745.9488143
02/03/2019 13:00,970.4753347
02/03/2019 13:10,751.4144682
02/03/2019 13:20,923.0038114
02/03/2019 13:30,822.0302642
02/03/2019 13:40,1068.638278
02/03/2019 13:50,984.689232
02/03/2019 14:00,978.3100969
02/03/2019 14:10,1040.678871
02/03/2019 14:20,1168.741738
02/03/2019 14:30,1143.82313
02/03/2019 14:40,1160.669503
02/03/2019 14:50,1187.261892
02/03/2019 15:00,1319.555735
02/03/2019 15:10,1467.24953
02/03/2019 15:20,1516.898822
02/03/2019 15:30,1564.414427
02/03/2019 15:40,1760.722299
02/03/2019 15:50,1629.262182
02/03/2019 16:00,1985.157782
02/03/2019 16:10,2001.827296
02/03/2019 16:20,1788.75378
02/03/2019 16:30,2208.59546
02/03/2019 16:40,2325.82745
02/03/2019 16:50,2292.55608
02/03/2019 17:00,2521.306758
02/03/2019 17:10,2682.99063
02/03/2019 17:20,2810.98217
02/03/2019 17:30,2963.124531
02/03/2019 17:40,3062.208281
02/03/2019 17:50,3140.442164
02/03/2019 18:00,3293.262006
02/03/2019 18:10,3334.288974
02/03/2019 18:20,3349.439675
02/03/2019 18:30,3431.256965
02/03/2019 18:40,3678.378492
02/03/2019 18:50,3792.409468
02/03/2019 19:00,4038.955145
02/03/2019 19:10,4214.238307
02/03/2019 19:20,4299.732504
02/03/2019 19:30,4445.393926
02/03/2019 19:40,4535.830017
02/03/2019 19:50,4831.821123
02/03/2019 20:00,4921.933767
02/03/2019 20:10,4945.290406
02/03/2019 20:20,5232.592133
02/03/2019 20:30,5416.648127
02/03/2019 20:40,5237.476388
02/03/2019 20:50,5453.410465
02/03/2019 21:00,5759.724979
02/03/2019 21:10,5763.987383
02/03/2019 21:20,5848.54604
02/03/2019 21:30,5887.836728
02/03/2019 21:40,5964.14312
02/03/2019 21:50,6048.966783
02/03/2019 22:00,6198.710433
02/03/2019 22:10,6417.909713
02/03/2019 22:20,6211.273091
02/03/2019 22:30,6286.128061
02/03/2019 22:40,6510.134453
02/03/2019 22:50,6232.985203
02/03/2019 23:00,6374.844892
02/03/2019 23:10,6209.691944
02/03/2019 23:20,5991.18071
02/03/2019 23:30,6094.309149
02/03/2019 23:40,5998.244067
02/03/2019 23:50,5732.474132
